,Unnamed: 0_x,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,format,Unnamed: 0_y,Span,Mat_y,Inns_y,Balls,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
71,71.0,MJ Clarke (AUS),245.0,223.0,44.0,7981.0,130,44.58,10104.0,78.98,8.0,58.0,10.0,665,53,odi,,,,,,,,,,,,
72,72.0,SP Fleming (ICC/NZ),280.0,269.0,21.0,8037.0,134*,32.4,11242.0,71.49,8.0,49.0,17.0,823,63,odi,,,,,,,,,,,,
73,73.0,Imam-ul-Haq (PAK),46.0,46.0,5.0,2023.0,151,49.34,2519.0,80.3,7.0,10.0,3.0,161,16,odi,,,,,,,,,,,,
74,74.0,Zaheer Abbas (PAK),62.0,60.0,6.0,2572.0,123,47.62,3033.0,84.8,7.0,13.0,2.0,213+,22+,odi,,,,,,,,,,,,
75,75.0,SE Marsh (AUS),73.0,72.0,4.0,2773.0,151,40.77,3406.0,81.41,7.0,15.0,3.0,247,36,odi,,,,,,,,,,,,
76,76.0,A Balbirnie (IRE),84.0,81.0,5.0,2462.0,145*,32.39,3262.0,75.47,7.0,12.0,4.0,236,30,odi,,,,,,,,,,,,
77,77.0,DI Gower (ENG),114.0,111.0,8.0,3170.0,158,30.77,4218.0,75.15,7.0,12.0,6.0,290,22,odi,,,,,,,,,,,,
78,78.0,DM Jones (AUS),164.0,161.0,25.0,6068.0,145,44.61,8362.0,72.56,7.0,46.0,6.0,380+,64+,odi,,,,,,,,,,,,
79,79.0,ADR Campbell (ZIM),188.0,184.0,14.0,5185.0,131*,30.5,7834.0,66.18,7.0,30.0,11.0,427+,44+,odi,,,,,,,,,,,,
80,80.0,CL Hooper (WI),227.0,206.0,43.0,5761.0,113*,35.34,7517.0,76.63,7.0,29.0,7.0,409,65,odi,43.0,1987-2003,227.0,203.0,9573.0,6958.0,193.0,36.05,4.36,49.6,3.0,0.0
81,81.0,Younis Khan (PAK),265.0,255.0,23.0,7249.0,144,31.24,9628.0,75.29,7.0,48.0,22.0,578,56,odi,,,,,,,,,,,,
82,82.0,M Azharuddin (INDIA),334.0,308.0,54.0,9378.0,153*,36.92,12669.0,74.02,7.0,58.0,9.0,622+,77+,odi,,,,,,,,,,,,
83,83.0,Fakhar Zaman (PAK),53.0,53.0,4.0,2325.0,210*,47.44,2455.0,94.7,6.0,13.0,5.0,263,45,odi,,,,,,,,,,,,
84,84.0,AD Hales (ENG),70.0,67.0,3.0,2419.0,171,37.79,2527.0,95.72,6.0,14.0,5.0,276,50,odi,,,,,,,,,,,,
85,85.0,EC Joyce (ENG/IRE),78.0,77.0,8.0,2622.0,160*,38.0,3630.0,72.23,6.0,15.0,5.0,255,25,odi,,,,,,,,,,,,
86,86.0,Ahmed Shehzad (PAK),81.0,81.0,1.0,2605.0,124,32.56,3614.0,72.08,6.0,14.0,7.0,269,18,odi,,,,,,,,,,,,
87,87.0,VVS Laxman (INDIA),86.0,83.0,7.0,2338.0,131,30.76,3282.0,71.23,6.0,10.0,3.0,222,4,odi,,,,,,,,,,,,
